,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
ENG-Premier League,1011,Wigan Athletic,Mike Pollitt,ENG,GK,38,1972,1,0,29,0.3,0,0.0,2,2,100.0,0,0,0,0,,,,,,
ENG-Premier League,1011,Wolves,Marcus Hahnemann,USA,GK,38,1972,14,14,1260,14.0,25,1.79,72,47,65.3,2,3,9,0,0.0,,,,,
ENG-Premier League,1011,Wolves,Wayne Hennessey,WAL,GK,23,1987,24,24,2160,24.0,41,1.71,127,86,67.7,9,4,11,5,20.8,,,,,
ENG-Premier League,1112,Arsenal,Wojciech Szczęsny,POL,GK,21,1990,38,38,3420,38.0,49,1.29,135,86,63.7,21,7,10,13,34.2,,,,,
ENG-Premier League,1112,Aston Villa,Brad Guzan,USA,GK,26,1984,7,6,593,6.6,8,1.21,29,21,72.4,2,1,4,1,16.7,,,,,
ENG-Premier League,1112,Aston Villa,Shay Given,IRL,GK,35,1976,32,32,2827,31.4,45,1.43,156,111,71.2,5,16,10,8,25.0,,,,,
ENG-Premier League,1112,Blackburn Rovers,Jake Kean,ENG,GK,20,1991,1,1,90,1.0,2,2.0,6,4,66.7,0,0,1,0,0.0,,,,,
ENG-Premier League,1112,Blackburn Rovers,Mark Bunn,ENG,GK,26,1984,3,3,270,3.0,5,1.67,19,14,73.7,1,1,1,0,0.0,,,,,
ENG-Premier League,1112,Blackburn Rovers,Paul Robinson,ENG,GK,31,1979,34,34,3060,34.0,71,2.09,165,94,57.0,7,6,21,3,8.8,,,,,
ENG-Premier League,1112,Bolton Wanderers,Jussi Jääskeläinen,FIN,GK,36,1975,18,18,1620,18.0,37,2.06,111,74,66.7,4,1,13,2,11.1,,,,,
ENG-Premier League,1112,Bolton Wanderers,Ádám Bogdán,HUN,GK,23,1987,20,20,1800,20.0,40,2.0,122,82,67.2,6,5,9,1,5.0,,,,,
ENG-Premier League,1112,Chelsea,Henrique Hilário,POR,GK,35,1975,2,2,180,2.0,2,1.0,10,8,80.0,2,0,0,0,0.0,,,,,
ENG-Premier League,1112,Chelsea,Petr Čech,CZE,GK,29,1982,34,34,3060,34.0,39,1.15,140,101,72.1,16,10,9,10,29.4,,,,,
ENG-Premier League,1112,Chelsea,Ross Turnbull,ENG,GK,26,1985,2,2,180,2.0,5,2.5,11,6,54.5,1,0,1,0,0.0,,,,,
ENG-Premier League,1112,Everton,Tim Howard,USA,GK,32,1979,38,38,3420,38.0,40,1.05,138,98,71.0,15,11,12,12,31.6,,,,,
ENG-Premier League,1112,Fulham,David Stockdale,ENG,GK,25,1985,8,8,720,8.0,14,1.75,59,45,76.3,3,3,2,1,12.5,,,,,
ENG-Premier League,1112,Fulham,Mark Schwarzer,AUS,GK,38,1972,30,30,2700,30.0,37,1.23,141,104,73.8,11,7,12,10,33.3,,,,,
ENG-Premier League,1112,Liverpool,Brad Jones,AUS,GK,29,1982,1,0,65,0.7,2,2.77,7,5,71.4,1,0,0,0,,,,,,
ENG-Premier League,1112,Liverpool,Doni,BRA,GK,31,1979,4,4,295,3.3,3,0.92,11,8,72.7,0,1,2,0,0.0,,,,,
ENG-Premier League,1112,Liverpool,Pepe Reina,ESP,GK,28,1982,34,34,3052,33.9,35,1.03,119,84,70.6,13,9,12,12,35.3,,,,,
ENG-Premier League,1112,Manchester City,Joe Hart,ENG,GK,24,1987,38,38,3420,38.0,29,0.76,133,104,78.2,28,5,5,17,44.7,,,,,
ENG-Premier League,1112,Manchester Utd,Anders Lindegaard,DEN,GK,27,1984,8,8,720,8.0,4,0.5,23,19,82.6,7,0,1,6,75.0,,,,,
ENG-Premier League,1112,Manchester Utd,Ben Amos,ENG,GK,21,1990,1,1,90,1.0,0,0.0,2,2,100.0,1,0,0,1,100.0,,,,,
ENG-Premier League,1112,Manchester Utd,David de Gea,ESP,GK,20,1990,29,29,2610,29.0,29,1.0,134,105,78.4,20,5,4,13,44.8,,,,,
ENG-Premier League,1112,Newcastle United,Tim Krul,NED,GK,23,1988,38,38,3420,38.0,51,1.34,176,125,71.0,19,8,11,15,39.5,,,,,
ENG-Premier League,1112,Norwich City,Declan Rudd,ENG,GK,20,1991,2,1,100,1.1,3,2.7,10,7,70.0,0,0,1,0,0.0,,,,,
ENG-Premier League,1112,Norwich City,John Ruddy,ENG,GK,24,1986,37,37,3320,36.9,63,1.71,218,155,71.1,12,11,14,3,8.1,,,,,
ENG-Premier League,1112,QPR,Paddy Kenny,IRL,GK,33,1978,33,33,2970,33.0,59,1.79,171,112,65.5,9,6,17,7,21.2,,,,,
ENG-Premier League,1112,QPR,Radek Černý,CZE,GK,37,1974,5,5,450,5.0,7,1.4,36,29,80.6,0,1,4,0,0.0,,,,,
ENG-Premier League,1112,Stoke City,Asmir Begović,BIH,GK,24,1987,23,22,1998,22.2,31,1.4,108,77,71.3,7,8,8,7,31.8,,,,,
ENG-Premier League,1112,Stoke City,Thomas Sørensen,DEN,GK,35,1976,16,16,1422,15.8,22,1.39,69,47,68.1,4,4,7,2,12.5,,,,,
ENG-Premier League,1112,Sunderland,Craig Gordon,SCO,GK,28,1982,1,1,90,1.0,2,2.0,4,2,50.0,0,1,0,0,0.0,,,,,
ENG-Premier League,1112,Sunderland,Keiren Westwood,IRL,GK,26,1984,9,8,759,8.4,11,1.3,27,16,59.3,2,3,4,1,12.5,,,,,
ENG-Premier League,1112,Sunderland,Simon Mignolet,BEL,GK,23,1988,29,29,2571,28.6,33,1.16,139,106,76.3,9,8,11,11,37.9,,,,,
ENG-Premier League,1112,Swansea City,Gerhard Tremmel,GER,GK,32,1978,1,1,90,1.0,2,2.0,4,2,50.0,0,0,1,0,0.0,,,,,
ENG-Premier League,1112,Swansea City,Michel Vorm,NED,GK,27,1983,37,37,3330,37.0,49,1.32,194,145,74.7,12,11,14,14,37.8,,,,,
ENG-Premier League,1112,Tottenham Hotspur,Brad Friedel,USA,GK,40,1971,38,38,3420,38.0,41,1.08,163,122,74.8,20,9,9,14,36.8,,,,,
ENG-Premier League,1112,West Brom,Ben Foster,ENG,GK,28,1983,37,37,3330,37.0,49,1.32,166,117,70.5,13,8,16,10,27.0,,,,,
ENG-Premier League,1112,West Brom,Márton Fülöp,HUN,GK,28,1983,1,1,90,1.0,3,3.0,5,2,40.0,0,0,1,0,0.0,,,,,
ENG-Premier League,1112,Wigan Athletic,Ali Al-Habsi,OMA,GK,29,1981,38,38,3420,38.0,62,1.63,200,138,69.0,11,10,17,8,21.1,,,,,
ENG-Premier League,1112,Wolves,Carl Ikeme,NGA,GK,25,1986,1,0,40,0.4,1,2.25,5,4,80.0,0,0,0,0,,,,,,
ENG-Premier League,1112,Wolves,Dorus de Vries,NED,GK,30,1980,4,4,320,3.6,8,2.25,20,12,60.0,0,2,2,1,25.0,,,,,
ENG-Premier League,1112,Wolves,Wayne Hennessey,WAL,GK,24,1987,34,34,3060,34.0,73,2.15,246,173,70.3,5,8,21,3,8.8,,,,,
ENG-Premier League,1213,Arsenal,Vito Mannone,ITA,GK,24,1988,9,9,810,9.0,10,1.11,34,24,70.6,3,3,3,3,33.3,,,,,
ENG-Premier League,1213,Arsenal,Wojciech Szczęsny,POL,GK,22,1990,25,25,2250,25.0,24,0.96,99,75,75.8,14,7,4,10,40.0,,,,,
ENG-Premier League,1213,Arsenal,Łukasz Fabiański,POL,GK,27,1985,4,4,360,4.0,3,0.75,9,6,66.7,4,0,0,1,25.0,,,,,
ENG-Premier League,1213,Aston Villa,Brad Guzan,USA,GK,27,1984,36,36,3240,36.0,65,1.81,185,120,64.9,10,11,15,5,13.9,,,,,
ENG-Premier League,1213,Aston Villa,Shay Given,IRL,GK,36,1976,2,2,180,2.0,4,2.0,8,4,50.0,0,0,2,0,0.0,,,,,
ENG-Premier League,1213,Chelsea,Petr Čech,CZE,GK,30,1982,36,36,3195,35.5,36,1.01,154,118,76.6,21,8,6,14,38.9,,,,,
ENG-Premier League,1213,Chelsea,Ross Turnbull,ENG,GK,27,1985,3,2,225,2.5,3,1.2,8,5,62.5,1,1,1,0,0.0,,,,,
ENG-Premier League,1213,Everton,Ján Mucha,SVK,GK,29,1982,2,2,180,2.0,1,0.5,13,12,92.3,1,1,0,1,50.0,,,,,
ENG-Premier League,1213,Everton,Tim Howard,USA,GK,33,1979,36,36,3240,36.0,39,1.08,130,91,70.0,15,14,7,10,27.8,,,,,
ENG-Premier League,1213,Fulham,David Stockdale,ENG,GK,26,1985,2,2,180,2.0,3,1.5,12,9,75.0,1,0,1,0,0.0,,,,,
ENG-Premier League,1213,Fulham,Mark Schwarzer,AUS,GK,39,1972,36,36,3240,36.0,57,1.58,186,129,69.4,10,10,16,8,22.2,,,,,
ENG-Premier League,1213,Liverpool,Brad Jones,AUS,GK,30,1982,7,7,630,7.0,9,1.29,31,22,71.0,3,3,1,2,28.6,,,,,
ENG-Premier League,1213,Liverpool,Pepe Reina,ESP,GK,29,1982,31,31,2790,31.0,34,1.1,104,70,67.3,13,10,8,14,45.2,,,,,
ENG-Premier League,1213,Manchester City,Joe Hart,ENG,GK,25,1987,38,38,3420,38.0,34,0.89,112,78,69.6,23,9,6,18,47.4,,,,,
ENG-Premier League,1213,Manchester Utd,Anders Lindegaard,DEN,GK,28,1984,10,10,900,10.0,17,1.7,38,21,55.3,6,1,3,2,20.0,,,,,
ENG-Premier League,1213,Manchester Utd,David de Gea,ESP,GK,21,1990,28,28,2520,28.0,26,0.93,114,88,77.2,22,4,2,11,39.3,,,,,
ENG-Premier League,1213,Newcastle United,Rob Elliot,IRL,GK,26,1986,10,9,835,9.3,20,2.16,45,25,55.6,3,2,5,1,11.1,,,,,
ENG-Premier League,1213,Newcastle United,Steve Harper,ENG,GK,37,1975,6,5,459,5.1,8,1.57,26,18,69.2,2,2,2,1,20.0,,,,,
ENG-Premier League,1213,Newcastle United,Tim Krul,NED,GK,24,1988,24,24,2126,23.6,40,1.69,118,78,66.1,6,4,12,4,16.7,,,,,
ENG-Premier League,1213,Norwich City,John Ruddy,ENG,GK,25,1986,15,15,1341,14.9,21,1.41,72,51,70.8,5,5,4,6,40.0,,,,,
ENG-Premier League,1213,Norwich City,Lee Camp,NIR,GK,27,1984,3,1,226,2.5,4,1.59,15,11,73.3,0,2,1,0,0.0,,,,,
ENG-Premier League,1213,Norwich City,Mark Bunn,ENG,GK,27,1984,23,22,1853,20.6,33,1.6,89,56,62.9,5,7,9,4,18.2,,,,,
ENG-Premier League,1213,QPR,Júlio César,BRA,GK,32,1979,24,24,2098,23.3,37,1.59,125,88,70.4,1,8,13,6,25.0,,,,,
ENG-Premier League,1213,QPR,Robert Green,ENG,GK,32,1980,16,14,1322,14.7,23,1.57,67,44,65.7,3,5,8,1,7.1,,,,,
ENG-Premier League,1213,Reading,Adam Federici,AUS,GK,27,1985,21,21,1890,21.0,40,1.9,118,78,66.1,5,4,12,3,14.3,,,,,
ENG-Premier League,1213,Reading,Alex McCarthy,ENG,GK,22,1989,13,13,1170,13.0,23,1.77,95,72,75.8,1,6,6,2,15.4,,,,,
ENG-Premier League,1213,Reading,Stuart Taylor,ENG,GK,31,1980,4,4,360,4.0,10,2.5,23,13,56.5,0,0,4,0,0.0,,,,,
ENG-Premier League,1213,Southampton,Artur Boruc,POL,GK,32,1980,20,20,1755,19.5,28,1.44,70,42,60.0,4,8,7,5,25.0,,,,,
ENG-Premier League,1213,Southampton,Kelvin Davis,ENG,GK,35,1976,10,9,855,9.5,20,2.11,49,29,59.2,2,3,5,1,11.1,,,,,
ENG-Premier League,1213,Southampton,Paulo Gazzaniga,ARG,GK,20,1992,9,9,810,9.0,12,1.33,43,31,72.1,3,3,3,1,11.1,,,,,
ENG-Premier League,1213,Stoke City,Asmir Begović,BIH,GK,25,1987,38,38,3420,38.0,45,1.18,154,109,70.8,9,15,14,12,31.6,,,,,
ENG-Premier League,1213,Sunderland,Simon Mignolet,BEL,GK,24,1988,38,38,3420,38.0,54,1.42,200,146,73.0,9,12,17,11,28.9,,,,,
ENG-Premier League,1213,Swansea City,Gerhard Tremmel,GER,GK,33,1978,14,12,1113,12.4,13,1.05,72,59,81.9,4,4,4,3,25.0,,,,,
ENG-Premier League,1213,Swansea City,Michel Vorm,NED,GK,28,1983,26,26,2307,25.6,38,1.48,129,91,70.5,7,9,10,7,26.9,,,,,
ENG-Premier League,1213,Tottenham Hotspur,Brad Friedel,USA,GK,41,1971,11,11,990,11.0,17,1.55,45,28,62.2,5,2,4,0,0.0,,,,,
ENG-Premier League,1213,Tottenham Hotspur,Hugo Lloris,FRA,GK,25,1986,27,27,2430,27.0,29,1.07,82,53,64.6,16,7,4,9,33.3,,,,,
ENG-Premier League,1213,West Brom,Ben Foster,ENG,GK,29,1983,30,30,2700,30.0,46,1.53,139,93,66.9,11,6,13,7,23.3,,,,,
ENG-Premier League,1213,West Brom,Boaz Myhill,WAL,GK,29,1982,8,8,720,8.0,11,1.37,38,27,71.1,3,1,4,1,12.5,,,,,
ENG-Premier League,1213,West Ham United,Jussi Jääskeläinen,FIN,GK,37,1975,38,38,3420,38.0,53,1.39,215,162,75.3,12,10,16,11,28.9,,,,,
ENG-Premier League,1213,Wigan Athletic,Ali Al-Habsi,OMA,GK,30,1981,29,29,2610,29.0,57,1.97,149,92,61.7,6,7,16,4,13.8,,,,,
ENG-Premier League,1213,Wigan Athletic,Joel Robles,ESP,GK,22,1990,9,9,810,9.0,16,1.78,39,23,59.0,3,2,4,1,11.1,,,,,
ENG-Premier League,1314,Arsenal,Wojciech Szczęsny,POL,GK,23,1990,37,37,3330,37.0,41,1.11,147,106,72.1,23,7,7,16,43.2,,,,,
ENG-Premier League,1314,Arsenal,Łukasz Fabiański,POL,GK,28,1985,1,,90,1.0,0,0.0,,,,1,0,0,1,,,,,,
ENG-Premier League,1314,Aston Villa,Brad Guzan,USA,GK,28,1984,38,38,3420,38.0,61,1.61,174,113,64.9,10,8,20,9,23.7,,,,,
ENG-Premier League,1314,Cardiff City,David Marshall,SCO,GK,28,1985,37,37,3330,37.0,73,1.97,216,143,66.2,7,8,22,7,18.9,,,,,
ENG-Premier League,1314,Cardiff City,Joe Lewis,ENG,GK,25,1987,1,1,90,1.0,1,1.0,4,3,75.0,0,1,0,0,0.0,,,,,
ENG-Premier League,1314,Chelsea,Mark Schwarzer,AUS,GK,40,1972,4,4,360,4.0,3,0.75,18,15,83.3,2,1,1,2,50.0,,,,,
ENG-Premier League,1314,Chelsea,Petr Čech,CZE,GK,31,1982,34,34,3060,34.0,24,0.71,103,79,76.7,23,6,5,16,47.1,,,,,
ENG-Premier League,1314,Crystal Palace,Julián Speroni,ARG,GK,34,1979,37,37,3330,37.0,46,1.24,164,118,72.0,13,6,18,12,32.4,,,,,
ENG-Premier League,1314,Crystal Palace,Wayne Hennessey,WAL,GK,26,1987,1,1,90,1.0,2,2.0,5,3,60.0,0,0,1,0,0.0,,,,,
ENG-Premier League,1314,Everton,Joel Robles,ESP,GK,23,1990,2,1,157,1.7,2,1.15,7,5,71.4,1,1,0,0,0.0,,,,,
ENG-Premier League,1314,Everton,Tim Howard,USA,GK,34,1979,37,37,3263,36.3,37,1.02,141,104,73.8,20,8,8,15,40.5,,,,,
ENG-Premier League,1314,Fulham,David Stockdale,ENG,GK,27,1985,21,19,1740,19.3,42,2.17,116,74,63.8,7,3,11,3,15.8,,,,,
ENG-Premier League,1314,Fulham,Maarten Stekelenburg,NED,GK,30,1982,19,19,1680,18.7,43,2.3,125,82,65.6,2,2,13,1,5.3,,,,,
ENG-Premier League,1314,Hull City,Allan McGregor,SCO,GK,31,1982,26,26,2228,24.8,31,1.25,103,72,69.9,7,5,14,7,26.9,,,,,
ENG-Premier League,1314,Hull City,Eldin Jakupović,SUI,GK,28,1984,1,1,90,1.0,3,3.0,7,4,57.1,0,0,1,0,0.0,,,,,
ENG-Premier League,1314,Hull City,Steve Harper,ENG,GK,38,1975,13,11,1101,12.2,19,1.55,54,35,64.8,3,2,6,3,27.3,,,,,
ENG-Premier League,1314,Liverpool,Simon Mignolet,BEL,GK,25,1988,38,38,3420,38.0,50,1.32,152,102,67.1,26,6,6,10,26.3,,,,,
ENG-Premier League,1314,Manchester City,Costel Pantilimon,ROU,GK,26,1987,7,7,630,7.0,7,1.0,24,17,70.8,5,1,1,3,42.9,,,,,
ENG-Premier League,1314,Manchester City,Joe Hart,ENG,GK,26,1987,31,31,2790,31.0,30,0.97,102,72,70.6,22,4,5,13,41.9,,,,,
ENG-Premier League,1314,Manchester Utd,Anders Lindegaard,DEN,GK,29,1984,1,1,90,1.0,0,0.0,4,4,100.0,1,0,0,1,100.0,,,,,
ENG-Premier League,1314,Manchester Utd,David de Gea,ESP,GK,22,1990,37,37,3330,37.0,43,1.16,139,96,69.1,18,7,12,12,32.4,,,,,
ENG-Premier League,1314,Newcastle United,Rob Elliot,IRL,GK,27,1986,2,2,180,2.0,8,4.0,18,10,55.6,0,0,2,0,0.0,,,,,
ENG-Premier League,1314,Newcastle United,Tim Krul,NED,GK,25,1988,36,36,3240,36.0,51,1.42,152,101,66.4,15,4,17,10,27.8,,,,,
ENG-Premier League,1314,Norwich City,John Ruddy,ENG,GK,26,1986,38,38,3420,38.0,62,1.63,189,127,67.2,8,9,21,12,31.6,,,,,
ENG-Premier League,1314,Southampton,Artur Boruc,POL,GK,33,1980,29,29,2577,28.6,26,0.91,92,66,71.7,14,9,6,14,48.3,,,,,
ENG-Premier League,1314,Southampton,Kelvin Davis,ENG,GK,36,1976,2,2,180,2.0,5,2.5,11,6,54.5,0,0,2,0,0.0,,,,,
ENG-Premier League,1314,Southampton,Paulo Gazzaniga,ARG,GK,21,1992,8,7,663,7.4,15,2.04,29,14,48.3,1,2,4,1,14.3,,,,,
ENG-Premier League,1314,Stoke City,Asmir Begović,BIH,GK,26,1987,32,32,2880,32.0,36,1.13,136,100,73.5,12,10,10,9,28.1,,,,,
ENG-Premier League,1314,Stoke City,Jack Butland,ENG,GK,20,1993,3,2,225,2.5,7,2.8,18,11,61.1,1,1,1,0,0.0,,,,,
ENG-Premier League,1314,Stoke City,Thomas Sørensen,DEN,GK,37,1976,4,4,315,3.5,9,2.57,19,10,52.6,0,0,3,0,0.0,,,,,
ENG-Premier League,1314,Sunderland,Keiren Westwood,IRL,GK,28,1984,10,10,852,9.5,22,2.32,49,27,55.1,1,1,7,0,0.0,,,,,
ENG-Premier League,1314,Sunderland,Vito Mannone,ITA,GK,25,1988,29,28,2568,28.5,38,1.33,168,130,77.4,9,7,13,11,39.3,,,,,
ENG-Premier League,1314,Swansea City,Gerhard Tremmel,GER,GK,34,1978,12,12,1080,12.0,22,1.83,53,31,58.5,2,3,7,1,8.3,,,,,
ENG-Premier League,1314,Swansea City,Michel Vorm,NED,GK,29,1983,26,26,2340,26.0,32,1.23,102,70,68.6,9,6,11,7,26.9,,,,,
ENG-Premier League,1314,Tottenham Hotspur,Brad Friedel,USA,GK,42,1971,1,1,90,1.0,1,1.0,4,3,75.0,0,0,1,0,0.0,,,,,
ENG-Premier League,1314,Tottenham Hotspur,Hugo Lloris,FRA,GK,26,1986,37,37,3330,37.0,50,1.35,148,98,66.2,21,6,10,14,37.8,,,,,
ENG-Premier League,1314,West Brom,Ben Foster,ENG,GK,30,1983,24,24,2147,23.9,38,1.59,111,73,65.8,4,10,10,3,12.5,,,,,
ENG-Premier League,1314,West Brom,Boaz Myhill,WAL,GK,30,1982,14,14,1260,14.0,21,1.5,62,41,66.1,3,5,6,3,21.4,,,,,
ENG-Premier League,1314,West Brom,Luke Daniels,ENG,GK,25,1988,1,0,13,0.1,0,0.0,1,1,100.0,0,0,0,0,,,,,,
ENG-Premier League,1314,West Ham United,Adrián,ESP,GK,26,1987,20,20,1800,20.0,27,1.35,112,85,75.9,8,1,11,6,30.0,,,,,
ENG-Premier League,1314,West Ham United,Jussi Jääskeläinen,FIN,GK,38,1975,18,18,1620,18.0,24,1.33,81,57,70.4,3,6,9,8,44.4,,,,,
ENG-Premier League,1415,Arsenal,David Ospina,COL,GK,25,1988,18,18,1620,18.0,11,0.61,57,46,80.7,13,3,2,8,44.4,,,,,
ENG-Premier League,1415,Arsenal,Emiliano Martínez,ARG,GK,21,1992,4,3,302,3.4,4,1.19,8,4,50.0,2,0,1,2,66.7,,,,,
ENG-Premier League,1415,Arsenal,Wojciech Szczęsny,POL,GK,24,1990,17,17,1498,16.6,21,1.26,63,42,66.7,7,6,4,3,17.6,,,,,
ENG-Premier League,1415,Aston Villa,Brad Guzan,USA,GK,29,1984,34,34,3060,34.0,48,1.41,148,100,67.6,8,8,18,9,26.5,,,,,
ENG-Premier League,1415,Aston Villa,Jed Steer,ENG,GK,21,1992,1,1,90,1.0,1,1.0,3,2,66.7,0,0,1,0,0.0,,,,,
ENG-Premier League,1415,Aston Villa,Shay Given,IRL,GK,38,1976,3,3,270,3.0,8,2.67,17,9,52.9,2,0,1,1,33.3,,,,,
ENG-Premier League,1415,Burnley,Tom Heaton,ENG,GK,28,1986,38,38,3420,38.0,53,1.39,178,125,70.2,7,12,19,10,26.3,,,,,
ENG-Premier League,1415,Chelsea,Petr Čech,CZE,GK,32,1982,7,6,607,6.7,2,0.3,18,16,88.9,7,0,0,5,83.3,,,,,
